Rank,Configuration ID,canny_aperture,canny_high,canny_low,ksize,mode,Accuracy,Precision,Recall,F1-Score,Training Time (s),Max Memory Usage (MB)
1,170,7,200,50,3,canny_sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.75355744361877,0.00390625
2,179,7,250,50,5,sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.48601603507996,0.0
3,119,7,250,100,5,sobel,0.8,0.7142857142857143,1.0,0.8333333333333334,96.84853768348694,0.0
4,5,5,250,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.18342089653015,0.00390625
5,12,3,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.99790215492249,0.0
6,21,3,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.31379461288452,0.0
7,35,7,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,85.4985454082489,0.0078125
8,43,5,200,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,91.10583448410034,-59.8984375
9,51,5,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.04012179374695,0.0
10,87,3,200,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.03063225746155,0.0078125
11,95,5,200,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.03553056716919,0.0
12,96,7,250,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.95834732055664,0.0
13,127,7,200,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,92.37998342514038,0.08203125
14,135,7,200,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,90.77453947067261,0.0
15,139,7,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,96.8434329032898,0.00390625
16,156,5,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.43447041511536,0.00390625
17,4,5,250,150,3,canny,0.8,0.75,0.9,0.8181818181818182,87.71192407608032,-0.921875
18,7,7,200,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.01768636703491,0.17578125
19,18,5,200,50,1,canny,0.8,0.75,0.9,0.8181818181818182,87.96902680397034,0.0
20,38,7,200,150,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,98.05201435089111,0.0078125
21,42,7,250,100,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,90.17360925674438,0.0
22,44,5,200,50,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,90.05173754692078,0.0
23,77,5,250,100,5,sobel,0.8,0.75,0.9,0.8181818181818182,138.03790736198425,0.00390625
24,78,3,200,100,5,sobel,0.8,0.75,0.9,0.8181818181818182,92.44926953315735,0.0
25,85,3,250,50,5,sobel,0.8,0.75,0.9,0.8181818181818182,88.58973240852356,-1.31640625
26,89,5,200,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.49942517280579,0.0
27,105,7,200,150,5,sobel,0.8,0.75,0.9,0.8181818181818182,88.09998202323914,0.34375
28,107,5,250,50,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,88.31091785430908,0.01953125
29,108,5,250,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.03483438491821,0.0
30,109,7,200,150,3,canny_sobel,0.8,0.75,0.9,0.8181818181818182,88.77840399742126,0.00390625
31,111,5,200,150,5,canny,0.8,0.75,0.9,0.8181818181818182,88.1731767654419,-0.0078125
32,115,5,200,150,5,sobel,0.8,0.75,0.9,0.8181818181818182,91.44340109825134,0.00390625
33,130,5,200,150,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,96.01689982414246,0.0
34,137,5,250,50,5,canny,0.8,0.75,0.9,0.8181818181818182,90.12864446640015,-0.0390625
35,143,7,100,50,3,canny_sobel,0.8,0.75,0.9,0.8181818181818182,101.00878500938416,0.015625
36,157,7,200,50,5,sobel,0.8,0.75,0.9,0.8181818181818182,87.3552725315094,-0.01953125
37,167,5,250,100,1,canny,0.8,0.75,0.9,0.8181818181818182,1615.3958323001862,0.0
38,186,7,200,100,1,canny,0.8,0.75,0.9,0.8181818181818182,87.13183259963989,-0.0078125
39,11,3,250,50,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.85199189186096,0.0234375
40,19,3,250,100,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.69093418121338,0.0
41,24,3,250,50,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.75842452049255,0.00390625
42,25,3,250,100,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.87555503845215,0.0
43,30,3,250,150,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,86.2288031578064,0.00390625
44,39,3,250,50,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,91.69190311431885,0.0
45,40,3,250,50,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,89.24796509742737,0.00390625
46,45,3,250,100,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,88.15546894073486,0.0
47,64,3,250,50,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,86.16876792907715,-11.33203125
48,93,3,250,100,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.55436706542969,-0.3984375
49,124,3,250,150,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,94.59368991851807,0.0234375
50,134,3,250,100,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,92.6994776725769,-0.00390625
51,151,3,250,150,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.0204770565033,0.0078125
52,164,3,250,150,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.68083333969116,0.00390625
53,181,3,250,50,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.31514835357666,0.0
54,184,3,250,100,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.88431310653687,0.00390625
55,187,3,250,150,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.34136915206909,0.0625
56,189,3,250,150,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.93762755393982,0.0
57,1,3,250,150,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.06107521057129,4.328125
58,22,7,250,50,5,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.17519855499268,0.00390625
59,27,5,200,100,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.9151132106781,0.0
60,28,7,200,100,1,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.39502048492432,0.0
61,32,7,250,100,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,89.27794027328491,-2.03515625
